Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2, B3, B6",2512,4,0R,
"B4, B5, B7",1206,3,0R,
"C1, C5, C6",0805,3,1uF,
"C10, C11, C12, C13, C16, C2, C8, C9",0805,8,0.1uF,
"C15, C3, C7",0805,3,10uF,
D1,ws2812B_2020_flipped,1,WS2812B 2020 Flipped,
"D2, D3, D4, D5",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812B,
D6,0603,1,150060GS73220,
D7,0603,1,150060BS73220,
"J1, J2, J3, J4, J5, J6, J7",pogo_receptor,7,S70-332002045R,
L1,0805,1,2.2µH,
R1,0805,1,62k,
"R10, R4",0805,2,350,
"R11, R12, R13, R14, R3, R7, R9",0805,7,10k,
R2,0805,1,5k,
R5,0805,1,600,
R6,0805,1,27k4,
SW1,DIP-10_W8.89mm_SMDSocket_LongPads,1,Address Coding,
SW2,SW_Push_1P1T_XKB_TS-1187A,1,PTS526 SK15 SMTR2 LFS,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D3.0mm,7,TestPoint,
U1,Texas_S-PVSON-N10_ThermalVias,1,TPS61201DRC,
U2,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny84A-SS,
U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,BQ25176J,
U5,DBV0005A_TEX,1,TLV9101IDBVR,
