Designator,Mid X,Mid Y,Rotation,Layer
B1,-34.75,13.25,0.0,top
B10,-34.75,15.5,0.0,top
B2,17.25,0.0375,90.0,top
B3,28.4625,32.25,0.0,top
B4,29.75,38.25,0.0,top
B5,-21.0,7.0375,90.0,top
B6,-4.7125,-10.75,0.0,top
B7,-17.4625,-19.75,0.0,top
B8,-33.0,36.5375,90.0,top
C1,-25.750001,-4.4075,180.0,top
C10,35.5,37.25,180.0,top
C11,36.5,-36.25,180.0,top
C12,-38.25,-36.0,0.0,top
C13,-37.5,35.55,270.0,top
C15,-22.0,-7.4075,90.0,top
C16,4.5,27.7,90.0,top
C2,-16.970001,-22.099999,180.0,top
C3,-15.5,-24.350001,180.0,top
C5,-22.0,-10.9075,270.0,top
C6,-29.65,32.2,180.0,top
C7,-23.23,33.25,90.0,top
C8,-20.69,33.25,90.0,top
C9,1.75,3.0,90.0,top
D1,0.0,0.0,0.0,top
D2,38.5,38.5,90.0,top
D3,38.5,-38.5,0.0,top
D4,-38.5,-38.5,0.0,top
D5,-38.5,38.5,180.0,top
D6,-29.75,-10.6575,180.0,top
D7,-27.000001,-11.4075,270.0,top
J1,-24.7,14.7,90.0,top
J2,-29.7,14.7,90.0,top
J3,-29.7,24.7,90.0,top
J4,-29.7,19.7,90.0,top
J5,-24.7,24.7,90.0,top
J6,-24.7,19.7,90.0,top
J7,-34.7,19.7,0.0,top
L1,-11.75,-25.0,180.0,top
R1,-7.520001,-21.85,90.0,top
R10,23.25,12.5,270.0,top
R11,9.245693,19.999999,180.0,top
R12,9.245693,25.000001,180.0,top
R13,5.833194,20.0,180.0,top
R14,9.245694,22.999999,180.0,top
R2,-7.520001,-18.35,90.0,top
R3,-26.2,32.2,180.0,top
R4,15.5,23.5,270.0,top
R5,-29.0,-6.4075,180.0,top
R6,-25.0,-11.4075,270.0,top
R7,-28.75,-13.4075,90.0,top
R9,-30.75,-13.407501,90.0,top
SW1,-9.7,9.68,270.0,top
SW2,-35.75,8.25,90.0,top
U1,-12.885001,-20.565,90.0,top
U2,-9.56,26.4,0.0,top
U3,-28.25,5.0,270.0,top
U4,-25.485,-8.0925,270.0,top
U5,5.495693,23.750001,90.0,top
